Date,Order ID,PO,Period,Quincena,Year,Month,Invoice AdPro,SKU_Amazon,SKU_Shopify,SKU_PowerBI,Amount,Quantity,Product Title,Color,Size,Name,Toe,Profit,Priority
2020-04-27,113-6994931-6670636,BCO2968,202004,2,2020,4,50982,a10024,s10024,P/WP,177.0,1,"CEBU Men's WP Composite Toe Waterproof 10"" Pull On Work Boots - Brown 8 US",Brown,8.0,WP, Composite , $ 35.49 ,2
2020-05-04,113-2307696-8481806,BCO3020,202005,1,2020,5,51097,a4562,s4562,S/MAX,102.0,1,"CEBU Men's Max Soft Toe Versatile 10"" Pull On Work Boots - Brown 11 US",Brown,11.0,Max, Soft , $ 19.00 ,1
2020-05-06,112-8402482-3773841,BCO3043,202005,1,2020,5,51159,a4527,s4527,S/MAX,79.0,1,"CEBU Men's Max Soft Toe Versatile 10"" Pull On Work Boots - Honey 8.5 US",Honey,8.5,Max, Soft , $ 19.00 ,1
2020-05-06,112-6513474-9041808,BCO3042,202005,1,2020,5,51158,a4526,s4526,S/MAX,79.0,1,"CEBU Men's Max Soft Toe Versatile 10"" Pull On Work Boots - Honey 8 US",Honey,8.0,Max, Soft , $ 19.00 ,1
2020-05-11,113-5651984-8073804,BCO3058,202005,1,2020,5,51212,a7784,s7784,A/BORCESAHARK,124.0,1,"CEBU Men's BorceShark Steel Toe Versatile 6"" Work Boots - Brown 8 US",Brown,8.0,BorceShark, Steel , $ 25.00 ,2
2020-05-12,114-8350321-0908218,BCO3068,202005,1,2020,5,51237,a4528,s4528,S/MAX,79.0,1,"CEBU Men's Max Soft Toe Versatile 10"" Pull On Work Boots - Honey 9 US",Honey,9.0,Max, Soft , $ 19.00 ,1
2020-05-14,112-9078222-2908249,BCO3078,202005,1,2020,5,No,a2525,s2525,A/LEISER,110.0,1,"CEBU Men's Tk Lacer Steel Toe Heavy Duty 8"" Work Boots - Shedron 10.5 US",Shedron,10.5,Tk Lacer, Steel , $ 20.50 ,2
2020-05-18,112-9575049-0932267,BCO3096,202005,2,2020,5,51346,a4527,s4527,S/MAX,158.0,2,"CEBU Men's Max Soft Toe Versatile 10"" Pull On Work Boots - Honey 8.5 US",Honey,8.5,Max, Soft , $ 19.00 ,1
2020-06-01,113-3560910-7948233,BCO3172,202006,1,2020,6,51615,a1434,s1434,S/TK,102.0,1,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots - Black 10.5 US",Black,10.5,Tractor, Soft , $ 20.00 ,1
2020-06-01,113-3560910-7948233,BCO3172,202006,1,2020,6,51615,a1434,s1434,S/TK,102.0,1,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots - Black 10.5 US",Black,10.5,Tractor, Soft , $ 20.00 ,1
2020-06-04,112-4033012-5333053,BCO3189,202006,1,2020,6,No,a7734,s7734,TLC1,129.0,1,"TORO BRAVO Men's TLC1 Soft Toe Cowboy 8"" Work Boots - Tan 9.5 US",Tan,9.5,TLC1, Soft , $ 27.00 ,3
2020-06-04,112-4033012-5333053,BCO3189,202006,1,2020,6,No,a7734,s7734,TLC1,129.0,1,"TORO BRAVO Men's TLC1 Soft Toe Cowboy 8"" Work Boots - Tan 9.5 US",Tan,9.5,TLC1, Soft , $ 27.00 ,3
2020-06-05,112-0965247-4059413,BCO3195,202006,1,2020,6,51707,a5021,s5021,S/MAX,106.0,1,"CEBU Men's Max Soft Toe Versatile 10"" Pull On Work Boots - Shedron 10 US",Shedron,10.0,Max, Soft , $ 19.00 ,1
2020-06-08,111-1118986-3389051,BCO3203,202006,1,2020,6,51731,a4556,s4556,S/MAX,102.0,1,"CEBU Men's Max Soft Toe Versatile 10"" Pull On Work Boots - Brown 8 US",Brown,8.0,Max, Soft , $ 19.00 ,1
2020-06-08,112-5373507-3041814,BCO3199,202006,1,2020,6,51728,a1420,s1420,S/TK,102.0,1,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots - Honey 12 US",Honey,12.0,Tractor, Soft , $ 20.00 ,1
2020-06-08,112-5373507-3041814,BCO3199,202006,1,2020,6,51728,a1420,s1420,S/TK,102.0,1,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots - Honey 12 US",Honey,12.0,Tractor, Soft , $ 20.00 ,1
2020-06-17,111-8530713-3130620,BCO3253,202006,2,2020,6,51913,a1433,s1433,S/TK,102.0,1,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots - Black 10 US",Black,10.0,Tractor, Soft , $ 20.00 ,1
2020-06-17,111-8530713-3130620,BCO3253,202006,2,2020,6,51913,a1433,s1433,S/TK,102.0,1,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots - Black 10 US",Black,10.0,Tractor, Soft , $ 20.00 ,1
2020-06-17,114-8501395-0312244,BCO3252,202006,2,2020,6,51907,a2437,s2437,S/LEISER,105.0,1,"CEBU Men's Tk Lacer Soft Toe Heavy Duty 8"" Work Boots - Honey 10 US",Honey,10.0,Tk Lacer, Soft , $ 20.50 ,2
2020-06-22,114-1921798-1331414,BCO3270,202006,2,2020,6,51987,a4561,s4561,S/MAX,102.0,1,"CEBU Men's Max Soft Toe Versatile 10"" Pull On Work Boots - Brown 10.5 US",Brown,10.5,Max, Soft , $ 19.00 ,1
2020-06-22,114-9287905-7474605,BCO3261,202006,2,2020,6,51971,a5021,s5021,S/MAX,106.0,1,"CEBU Men's Max Soft Toe Versatile 10"" Pull On Work Boots - Shedron 10 US",Shedron,10.0,Max, Soft , $ 19.00 ,1
2020-06-22,111-2340025-9471419,BCO3263,202006,2,2020,6,51973,a7285,s7285,TRC3P STL,161.0,1,"TORO BRAVO Men's TRC3P Steel Toe Cowboy 10"" Pull On Work Boots - Brown 10.5 US",Brown,10.5,TRC3P, Steel , $ 32.50 ,1
2020-06-22,111-2340025-9471419,BCO3263,202006,2,2020,6,51973,a7285,s7285,TRC3P STL,161.0,1,"TORO BRAVO Men's TRC3P Steel Toe Cowboy 10"" Pull On Work Boots - Brown 10.5 US",Brown,10.5,TRC3P, Steel , $ 32.50 ,1
2020-06-24,112-1948181-6918642,BCO3279,202006,2,2020,6,52008,a4556,s4556,S/MAX,102.0,1,"CEBU Men's Max Soft Toe Versatile 10"" Pull On Work Boots - Brown 8 US",Brown,8.0,Max, Soft , $ 19.00 ,1
2020-07-01,113-2637798-1637062,BCO3310,202007,1,2020,7,52188,a12108,s12108,A/BORCESAHARK,129.0,1,"CEBU Men's BorceShark Steel Toe Versatile 6"" Work Boots - Black 8.5 US",Black,8.5,BorceShark, Steel , $ 25.00 ,2
2020-07-06,113-4434213-2246663,BCO3342,202007,1,2020,7,52234,a9116,s9116,PR,102.0,1,"PRADERA Men's PR Rayas Soft Toe Cowboy 10"" Pull On Work Boots - Brown 10.5 US",Brown,10.5,PR Rayas, Soft , $ 25.00 ,2
2020-07-08,111-1010767-8304263,BCO3353,202007,1,2020,7,52300,a10072,s10072,P/WP,141.0,1,"CEBU Men's WP Composite Toe Waterproof 10"" Pull On Work Boots - Black 12 US",Black,12.0,WP, Composite , $ 35.49 ,2
2020-07-09,113-2561529-3778611,BCO3359,202007,1,2020,7,52321,a7276,s7276,TRC3P STL,161.0,1,"TORO BRAVO Men's TRC3P Steel Toe Cowboy 10"" Pull On Work Boots - Brown 6 US",Brown,6.0,TRC3P, Steel , $ 32.50 ,1
2020-07-09,113-2561529-3778611,BCO3359,202007,1,2020,7,52321,a7276,s7276,TRC3P STL,161.0,1,"TORO BRAVO Men's TRC3P Steel Toe Cowboy 10"" Pull On Work Boots - Brown 6 US",Brown,6.0,TRC3P, Steel , $ 32.50 ,1
2020-07-10,113-4404903-2637051,BCO3365,202007,1,2020,7,52344,a7288,s7288,TRC3P STL,161.0,1,"TORO BRAVO Men's TRC3P Steel Toe Cowboy 10"" Pull On Work Boots - Brown 13 US",Brown,13.0,TRC3P, Steel , $ 32.50 ,1
2020-07-10,113-4404903-2637051,BCO3365,202007,1,2020,7,52344,a7288,s7288,TRC3P STL,161.0,1,"TORO BRAVO Men's TRC3P Steel Toe Cowboy 10"" Pull On Work Boots - Brown 13 US",Brown,13.0,TRC3P, Steel , $ 32.50 ,1
2020-07-10,112-5308334-1854617,BCO3366,202007,1,2020,7,52345,a7284,s7284,TRC3P STL,161.0,1,"TORO BRAVO Men's TRC3P Steel Toe Cowboy 10"" Pull On Work Boots - Brown 10 US",Brown,10.0,TRC3P, Steel , $ 32.50 ,1
2020-07-10,113-4386704-3313816,BCO3370,202007,2,2020,7,52350,a7283,s7283,TRC3P STL,161.0,1,"TORO BRAVO Men's TRC3P Steel Toe Cowboy 10"" Pull On Work Boots - Brown 9.5 US",Brown,9.5,TRC3P, Steel , $ 32.50 ,1
2020-07-10,112-5308334-1854617,BCO3366,202007,1,2020,7,52345,a7284,s7284,TRC3P STL,161.0,1,"TORO BRAVO Men's TRC3P Steel Toe Cowboy 10"" Pull On Work Boots - Brown 10 US",Brown,10.0,TRC3P, Steel , $ 32.50 ,1
2020-07-10,113-4386704-3313816,BCO3370,202007,2,2020,7,52350,a7283,s7283,TRC3P STL,161.0,1,"TORO BRAVO Men's TRC3P Steel Toe Cowboy 10"" Pull On Work Boots - Brown 9.5 US",Brown,9.5,TRC3P, Steel , $ 32.50 ,1
2020-07-10,113-6268522-0153809,BCO3371,202007,2,2020,7,52352,a7747,s7747,TLC1 STL,134.0,1,"TORO BRAVO Men's TLC1 Steel Toe Cowboy 8"" Work Boots - Tan 9.5 US",Tan,9.5,TLC1, Steel , $ 27.50 ,3
2020-07-10,113-6268522-0153809,BCO3371,202007,2,2020,7,52352,a7747,s7747,TLC1 STL,134.0,1,"TORO BRAVO Men's TLC1 Steel Toe Cowboy 8"" Work Boots - Tan 9.5 US",Tan,9.5,TLC1, Steel , $ 27.50 ,3
2020-07-13,114-3507862-0855425,BCO3378,202007,2,2020,7,52360,a7281,s7281,TRC3P STL,161.0,1,"TORO BRAVO Men's TRC3P Steel Toe Cowboy 10"" Pull On Work Boots - Brown 8.5 US",Brown,8.5,TRC3P, Steel , $ 32.50 ,1
