Month,(Parent) ASIN,(Child) ASIN,Title,Size,Color,Toe,Name,Orders,SKU - Power BI,Price Warehouse,Cost Warehouse,Margen,Sessions,Session Percentage,Page Views,Page Views Percentage,Featured Offer (Buy Box) Percentage,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
May,B08MYH4M4D,B08KZKDRZY,"CEBU Men's BorceShark Soft Toe Versatile 6"" Work Boots - Black 10.5 US",10.5,Black,Soft,BorceShark,1,BORCESHARK,$58.5,$32.5,$25.0,2,0.01%,2,0.01%,0.00%,1,0,50.00%,0.00%,$118.00,$0.00,1,0
May,B087L7KWCM,B087LDW99M,"CEBU Men's Botin Composite Toe Versatile 6"" Slip On Work Boots - Brown 7 US",7,Brown,Soft,Botin Cafe,1,BOTIN MAX,$58.5,$29.5,$25.0,0,0.00%,0,0.00%,0.00%,1,0,0.00%,0.00%,$112.00,$0.00,1,0
May,B00R0UTMVQ,B088G12B5Z,"CEBU Men's Botin Soft Toe Slip On 6"" Slip On Work Boots - Brown 10 US",10,Brown,Soft,Botin Cafe,1,BOTIN MAX,$58.5,$29.5,$25.0,1,0.01%,1,0.01%,100.00%,1,0,100.00%,0.00%,$102.00,$0.00,1,0
May,B00R0UTMVQ,B088FZLDN7,"CEBU Men's Botin Soft Toe Slip On 6"" Slip On Work Boots - Brown 10.5 US",10.5,Black,Soft,Botin Cafe,1,BOTIN MAX,$58.5,$29.5,$25.0,5,0.04%,6,0.04%,83.33%,1,0,20.00%,0.00%,$110.16,$0.00,1,0
May,B00R0UTMVQ,B088G1KRVS,"CEBU Men's Botin Soft Toe Slip On 6"" Slip On Work Boots - Brown 11 US",11,Brown,Soft,Botin Cafe,1,BOTIN MAX,$58.5,$29.5,$25.0,0,0.00%,0,0.00%,0.00%,1,0,0.00%,0.00%,$102.00,$0.00,1,0
May,B00R0UTMVQ,B088FZJ6FY,"CEBU Men's Botin Soft Toe Slip On 6"" Slip On Work Boots - Brown 7.5 US",7.5,Brown,Soft,Botin Cafe,2,BOTIN MAX,$58.5,$29.5,$25.0,0,0.00%,0,0.00%,0.00%,2,0,0.00%,0.00%,$211.91,$0.00,2,0
May,B00R0UTMVQ,B088FZ2GQD,"CEBU Men's Botin Soft Toe Slip On 6"" Slip On Work Boots - Brown 8.5 US",8.5,Brown,Soft,Botin Cafe,1,BOTIN MAX,$58.5,$29.5,$25.0,2,0.01%,2,0.01%,100.00%,1,0,50.00%,0.00%,$109.91,$0.00,1,0
May,B07BJCR748,B00CUK53GE,"CEBU Men's BrdShark 10"" Work Boot - Brown 11",11,Brown,Soft,BrdShark,1,BRD SHARK,$58.5,$32.5,$25.0,0,0.00%,0,0.00%,0.00%,1,0,0.00%,0.00%,$139.32,$0.00,1,0
May,B07BJCR748,B00CUK3W2Q,"CEBU Men's BrdShark 10"" Work Boot - Brown 9.5",9.5,Brown,Soft,BrdShark,1,BRD SHARK,$58.5,$32.5,$25.0,2,0.01%,3,0.02%,100.00%,1,0,50.00%,0.00%,$138.35,$0.00,1,0
May,B07BJCR748,B00CUK1CF0,CEBU Men's BrdShark 10” Work Boot - Honey 9.5,9.5,Honey,Soft,BrdShark,1,BRD SHARK,$58.5,$32.5,$25.0,3,0.02%,3,0.02%,100.00%,1,0,33.33%,0.00%,$139.64,$0.00,1,0
May,B08YQZQSTP,B08YQWBJ7K,"CEBU Men's BT Flex Soft Toe Lightweight 6"" Slip On Work Boots - Brown 11 US",11,Brown,Soft,BT Flex,1,BT FLEX,$58.5,$30.5,$25.0,3,0.02%,4,0.02%,100.00%,1,0,33.33%,0.00%,$105.00,$0.00,1,0
May,B07CNKYWRN,B00CBHMIQE,CEBU Men's Comfort 10” Steel-Toe Work Boot - Brown 10.5,10.5,Brown,Steel,Comfort,1,A/C,$49.5,$28.5,$21.0,0,0.00%,0,0.00%,0.00%,1,0,0.00%,0.00%,$114.75,$0.00,1,0
May,B07C5PHV5N,B00CBHO0OW,"CEBU Men's Comfort Soft Toe Wedge Sole 10"" Pull On Work Boots - Brown 10 US",10,Brown,Soft,Comfort,3,S/C,$35.0,$27.5,$16.5,45,0.32%,58,0.34%,98.28%,3,0,6.67%,0.00%,$314.42,$0.00,3,0
May,B07C5PHV5N,B00CBHO3BM,"CEBU Men's Comfort Soft Toe Wedge Sole 10"" Pull On Work Boots - Brown 10.5 US",10.5,Brown,Soft,Comfort,4,S/C,$35.0,$27.5,$16.5,12,0.09%,15,0.09%,86.67%,4,0,33.33%,0.00%,$441.89,$0.00,4,0
May,B07C5PHV5N,B00CBHO6RS,"CEBU Men's Comfort Soft Toe Wedge Sole 10"" Pull On Work Boots - Brown 11 US",11,Brown,Soft,Comfort,2,S/C,$35.0,$27.5,$16.5,4,0.03%,4,0.02%,100.00%,2,0,50.00%,0.00%,$212.16,$0.00,2,0
May,B07C5PHV5N,B00CBHOHGS,"CEBU Men's Comfort Soft Toe Wedge Sole 10"" Pull On Work Boots - Brown 6 US",6,Brown,Soft,Comfort,1,S/C,$35.0,$27.5,$16.5,23,0.16%,28,0.16%,64.29%,1,0,4.35%,0.00%,$110.65,$0.00,1,0
May,B07C5PHV5N,B00CBHOKEM,"CEBU Men's Comfort Soft Toe Wedge Sole 10"" Pull On Work Boots - Brown 6.5 US",6.5,Brown,Soft,Comfort,2,S/C,$35.0,$27.5,$16.5,22,0.16%,28,0.16%,78.57%,2,0,9.09%,0.00%,$204.00,$0.00,2,0
May,B07C5PHV5N,B00CBHONZ8,"CEBU Men's Comfort Soft Toe Wedge Sole 10"" Pull On Work Boots - Brown 7.5 US",7.5,Brown,Soft,Comfort,2,S/C,$35.0,$27.5,$16.5,6,0.04%,13,0.08%,100.00%,2,0,33.33%,0.00%,$211.91,$0.00,2,0
May,B07C5PHV5N,B00CBHOS58,"CEBU Men's Comfort Soft Toe Wedge Sole 10"" Pull On Work Boots - Brown 8.5 US",8.5,Brown,Soft,Comfort,5,S/C,$35.0,$27.5,$16.5,60,0.43%,77,0.45%,100.00%,5,0,8.33%,0.00%,$515.23,$0.00,5,0
May,B07C5PHV5N,B00CBHOUDI,"CEBU Men's Comfort Soft Toe Wedge Sole 10"" Pull On Work Boots - Brown 9 US",9,Brown,Soft,Comfort,4,S/C,$35.0,$27.5,$16.5,241,1.73%,298,1.76%,98.32%,4,0,1.66%,0.00%,$430.45,$0.00,4,0
May,B07C5PHV5N,B00CBHOWF4,"CEBU Men's Comfort Soft Toe Wedge Sole 10"" Pull On Work Boots - Brown 9.5 US",9.5,Brown,Soft,Comfort,6,S/C,$35.0,$27.5,$16.5,19,0.14%,26,0.15%,96.15%,6,0,31.58%,0.00%,$640.95,$0.00,6,0
May,B07C5PHV5N,B00CBHKRTY,"CEBU Men's Comfort Soft Toe Wedge Sole 10"" Pull On Work Boots - Maroon 6 US",6,Maroon,Soft,Comfort,2,S/C,$35.0,$27.5,$16.5,70,0.50%,85,0.50%,80.00%,2,0,2.86%,0.00%,$204.00,$0.00,2,0
May,B07C5PHV5N,B00CBHL4V4,"CEBU Men's Comfort Soft Toe Wedge Sole 10"" Pull On Work Boots - Maroon 8 US",8,Maroon,Soft,Comfort,2,S/C,$35.0,$27.5,$16.5,1,0.01%,1,0.01%,100.00%,2,0,200.00%,0.00%,$210.12,$0.00,2,0
May,B07C5PHV5N,B00CBHLCN4,"CEBU Men's Comfort Soft Toe Wedge Sole 10"" Pull On Work Boots - Maroon 9.5 US",9.5,Maroon,Soft,Comfort,1,S/C,$35.0,$27.5,$16.5,4,0.03%,5,0.03%,100.00%,1,0,25.00%,0.00%,$109.91,$0.00,1,0
May,B071SDF8P5,B072LTV7PR,CEBU Men's Farmer 10” Work Boot - Brown 10 US,10,Brown,Soft,Farmer ,2,FARMER,$37.0,$32.5,$11.5,549,3.93%,632,3.72%,99.37%,2,0,0.36%,0.00%,$268.00,$0.00,2,0
May,B071SDF8P5,B0725W3PN6,CEBU Men's Farmer 10” Work Boot - Brown 10.5 US,10.5,Brown,Soft,Farmer ,1,FARMER,$37.0,$32.5,$11.5,18,0.13%,23,0.14%,95.65%,1,0,5.56%,0.00%,$140.09,$0.00,1,0
May,B071SDF8P5,B071FFTNJ9,CEBU Men's Farmer 10” Work Boot - Brown 6.5 US,6.5,Brown,Soft,Farmer ,3,FARMER,$37.0,$32.5,$11.5,22,0.16%,25,0.15%,92.00%,3,0,13.64%,0.00%,$411.96,$0.00,3,0
May,B071SDF8P5,B071ZF1Q21,CEBU Men's Farmer 10” Work Boot - Brown 7.5 US,7.5,Brown,Soft,Farmer ,3,FARMER,$37.0,$32.5,$11.5,21,0.15%,33,0.19%,96.97%,3,0,14.29%,0.00%,$398.13,$0.00,3,0
May,B071SDF8P5,B0725W3T5Q,CEBU Men's Farmer 10” Work Boot - Brown 8.5 US,8.5,Brown,Soft,Farmer ,3,FARMER,$37.0,$32.5,$11.5,19,0.14%,27,0.16%,100.00%,3,0,15.79%,0.00%,$403.13,$0.00,3,0
May,B071SDF8P5,B071P6Y3MS,CEBU Men's Farmer 10” Work Boot - Brown 9 US,9,Brown,Soft,Farmer ,1,FARMER,$37.0,$32.5,$11.5,28,0.20%,41,0.24%,82.93%,1,0,3.57%,0.00%,$138.03,$0.00,1,0
May,B071SDF8P5,B072C2QJ8T,CEBU Men's Farmer 10” Work Boot - Brown 9.5 US,9.5,Brown,Soft,Farmer ,2,FARMER,$37.0,$32.5,$11.5,29,0.21%,36,0.21%,97.22%,2,0,6.90%,0.00%,$277.36,$0.00,2,0
May,B08KZLFQMZ,B08KZLYWWX,"CEBU Men's Farmer Steel Toe Cowboy 10"" Pull On Work Boots - Brown 11 US",11,Brown,Steel,Farmer,1,A/FARMER,$60.5,$33.5,$27.0,1,0.01%,1,0.01%,100.00%,1,0,100.00%,0.00%,$134.00,$0.00,1,0
May,B08KZLFQMZ,B088YVBQFZ,"CEBU Men's Farmer Steel Toe Cowboy 10"" Pull On Work Boots - Brown 6.5 US",6.5,Brown,Steel,Farmer,1,A/FARMER,$60.5,$33.5,$27.0,2,0.01%,2,0.01%,100.00%,1,0,50.00%,0.00%,$145.89,$0.00,1,0
May,B08KZLFQMZ,B088YJ2MDH,"CEBU Men's Farmer Steel Toe Cowboy 10"" Pull On Work Boots - Brown 7 US",7,Brown,Steel,Farmer,1,A/FARMER,$60.5,$33.5,$27.0,3,0.02%,4,0.02%,100.00%,1,0,33.33%,0.00%,$142.04,$0.00,1,0
May,B08KZLFQMZ,B08KZMWSY8,"CEBU Men's Farmer Steel Toe Cowboy 10"" Pull On Work Boots - Brown 9 US",9,Brown,Steel,Farmer,1,A/FARMER,$60.5,$33.5,$27.0,0,0.00%,0,0.00%,0.00%,1,0,0.00%,0.00%,$145.06,$0.00,1,0
May,B08KZLFQMZ,B088YGQQP6,"CEBU Men's Farmer Steel Toe Cowboy 10"" Pull On Work Boots - Brown 9.5 US",9.5,Brown,Steel,Farmer,1,A/FARMER,$60.5,$33.5,$27.0,0,0.00%,0,0.00%,0.00%,1,0,0.00%,0.00%,$145.73,$0.00,1,0
May,B08YRDMCWD,B08YR1SWXW,"CEBU Men's HL200 Soft Toe Breathable 10"" Pull On Work Boots - Brown 8.5 US",8.5,Brown,Soft,HL200,1,HL-200,$35.0,$34.0,$16.5,2,0.01%,5,0.03%,100.00%,1,0,50.00%,0.00%,$139.64,$0.00,1,0
May,B08YQXT5LL,B08YRH66HR,"CEBU Men's Lacer 300 Soft Toe Wedge Sole 8"" Work Boots - Tan 8 US",8,Tan,Soft,Lacer 300,1,LACER 300,$35.0,$36.0,$16.5,1,0.01%,1,0.01%,100.00%,1,0,100.00%,0.00%,$133.61,$0.00,1,0
May,B088WJNVRP,B088WP6PWV,"CEBU Men's Max Grip Soft Toe Non Slip 10"" Pull On Work Boots - Black 10 US",10,Black,Soft,Max Grip Negro,2,Max Grip,$35.0,$31.5,$16.5,5,0.04%,8,0.05%,100.00%,2,0,40.00%,0.00%,$229.35,$0.00,2,0
May,B088WJNVRP,B088W7SZW3,"CEBU Men's Max Grip Soft Toe Non Slip 10"" Pull On Work Boots - Black 13 US",13,Black,Soft,Max Grip Negro,1,Max Grip,$35.0,$31.5,$16.5,0,0.00%,0,0.00%,0.00%,1,0,0.00%,0.00%,$118.80,$0.00,1,0
May,B088WJNVRP,B088W9LP8C,"CEBU Men's Max Grip Soft Toe Non Slip 10"" Pull On Work Boots - Black 7.5 US",7.5,Black,Soft,Max Grip Negro,1,Max Grip,$35.0,$31.5,$16.5,1,0.01%,1,0.01%,100.00%,1,0,100.00%,0.00%,$110.00,$0.00,1,0
May,B088WJNVRP,B088W1SMGN,"CEBU Men's Max Grip Soft Toe Non Slip 10"" Pull On Work Boots - Black 9.5 US",9.5,Black,Soft,Max Grip Negro,1,Max Grip,$35.0,$31.5,$16.5,1,0.01%,2,0.01%,100.00%,1,0,100.00%,0.00%,$116.60,$0.00,1,0
May,B07CGDH25Z,B087R3P72Q,"CEBU Men's Max Soft Toe Versatile 10"" Pull On Work Boots - Brown 10 US",10,Brown,Soft,Max,1,S/MAX,$35.0,$28.5,$16.5,7,0.05%,8,0.05%,100.00%,1,0,14.29%,0.00%,$110.67,$0.00,1,0
May,B07CGDH25Z,B087R36TGP,"CEBU Men's Max Soft Toe Versatile 10"" Pull On Work Boots - Brown 10.5 US",10.5,Brown,Soft,Max,1,S/MAX,$35.0,$28.5,$16.5,2,0.01%,2,0.01%,100.00%,1,0,50.00%,0.00%,$102.00,$0.00,1,0
May,B07CGDH25Z,B087R3F1C6,"CEBU Men's Max Soft Toe Versatile 10"" Pull On Work Boots - Shedron 10.5 US",10.5,Shedron,Soft,Max,1,S/MAX,$35.0,$28.5,$16.5,0,0.00%,0,0.00%,0.00%,1,0,0.00%,0.00%,$112.36,$0.00,1,0
May,B07BMP2XW5,B00D0R6R7U,"CEBU Men's Max Steel Toe Versatile 10"" Pull On Work Boots - Brown 10.5 US",10.5,Brown,Steel,Max,2,A/MAX,$49.5,$29.5,$20.0,3,0.02%,4,0.02%,100.00%,2,0,66.67%,0.00%,$218.36,$0.00,2,0
May,B07BMP2XW5,B00D0R6SVK,"CEBU Men's Max Steel Toe Versatile 10"" Pull On Work Boots - Brown 11 US",11,Brown,Steel,Max,3,A/MAX,$49.5,$29.5,$20.0,7,0.05%,12,0.07%,50.00%,2,1,28.57%,14.29%,$212.00,$106.00,2,1
May,B07BMP2XW5,B00D0R6Y3M,"CEBU Men's Max Steel Toe Versatile 10"" Pull On Work Boots - Brown 13 US",13,Brown,Steel,Max,3,A/MAX,$49.5,$29.5,$20.0,4,0.03%,16,0.09%,100.00%,3,0,75.00%,0.00%,$327.28,$0.00,3,0
May,B07BMP2XW5,B00D0R6I92,"CEBU Men's Max Steel Toe Versatile 10"" Pull On Work Boots - Brown 8 US",8,Brown,Steel,Max,2,A/MAX,$49.5,$29.5,$20.0,51,0.37%,56,0.33%,100.00%,2,0,3.92%,0.00%,$228.97,$0.00,2,0
May,B07BMP2XW5,B00D0R6JNM,"CEBU Men's Max Steel Toe Versatile 10"" Pull On Work Boots - Brown 8.5 US",8.5,Brown,Steel,Max,3,A/MAX,$49.5,$29.5,$20.0,5,0.04%,6,0.04%,100.00%,3,0,60.00%,0.00%,$318.00,$0.00,2,0
May,B07BMP2XW5,B00D0R6L8U,"CEBU Men's Max Steel Toe Versatile 10"" Pull On Work Boots - Brown 9 US",9,Brown,Steel,Max,3,A/MAX,$49.5,$29.5,$20.0,5,0.04%,6,0.04%,100.00%,3,0,60.00%,0.00%,$344.21,$0.00,3,0
May,B07BMP2XW5,B00D0R6NPQ,"CEBU Men's Max Steel Toe Versatile 10"" Pull On Work Boots - Brown 9.5 US",9.5,Brown,Steel,Max,2,A/MAX,$49.5,$29.5,$20.0,7,0.05%,8,0.05%,87.50%,2,0,28.57%,0.00%,$212.00,$0.00,2,0
May,B00R0UX0DC,B07HWNJQK2,CEBU Men's Rodeo 10” Composite-Toe Work Boot- Brown 11,11,Brown,Composite,Rodeo Cafe,1,P/RODEO,$35.0,$43.5,$16.5,10,0.07%,11,0.06%,100.00%,1,0,10.00%,0.00%,$140.00,$0.00,1,0
